名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アキンラデウォフォルケ,2020-10,久光スプリングス,16,10,52,25,3,48.1,42.3,1,0,0,5,32,1,3,10,0,0,0,0.0,2.5,0.5,8.6,
アキンラデウォフォルケ,2020-11,久光スプリングス,16,24,142,67,3,47.2,45.1,0,0,0,14,70,6,8,15,10,3,3,,2.79,0.58,11.1,45.0
アキンラデウォフォルケ,2020-12,久光スプリングス,16,7,33,17,2,51.5,45.5,0,0,0,7,24,2,4,4,2,1,0,,2.43,1.0,8.3,50.0
アキンラデウォフォルケ,2021-01,久光スプリングス,16,22,104,52,3,50.0,47.1,0,0,0,22,64,5,3,24,1,0,0,,2.36,1.0,16.0,0.0
アキンラデウォフォルケ,2021-02,久光スプリングス,16,9,55,31,1,56.4,54.5,0,0,0,10,25,1,1,8,0,0,0,,3.44,1.11,11.0,
アコスタロスランディ,2020-11,PFUブルーキャッツ,18,33,470,173,18,36.8,33.0,72,32,5,13,108,2,5,21,193,96,45,44.4,5.24,0.39,5.6,61.4
アコスタロスランディ,2020-12,PFUブルーキャッツ,18,6,93,34,4,36.6,32.3,18,5,1,0,18,1,2,3,36,13,13,27.8,5.67,0.0,6.9,54.2
アコスタロスランディ,2021-01,PFUブルーキャッツ,18,10,138,47,11,34.1,26.1,20,5,2,2,31,2,6,3,75,29,20,25.0,4.7,0.2,4.0,52.0
アコスタロスランディ,2021-02,PFUブルーキャッツ,18,4,42,18,3,42.9,35.7,6,2,0,0,13,1,4,1,13,8,3,33.3,4.5,0.0,1.9,73.1
オクム大庭冬美ハウィ,2020-10,日立リヴァーレ,17,12,162,64,10,39.5,33.3,30,11,2,3,33,0,1,11,0,0,0,36.7,5.33,0.25,7.6,
オクム大庭冬美ハウィ,2020-12,日立リヴァーレ,17,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
オクム大庭冬美ハウィ,2021-01,日立リヴァーレ,17,12,156,56,12,35.9,28.2,17,5,1,2,37,2,3,4,0,0,0,29.4,4.67,0.17,6.1,
オクム大庭冬美ハウィ,2021-02,日立リヴァーレ,17,15,209,80,16,38.3,30.6,26,7,3,6,49,2,4,11,0,0,0,26.9,5.33,0.4,7.7,
オズソイネリマン,2020-10,NECレッドロケッツ,23,4,37,14,1,37.8,35.1,3,1,1,0,13,0,1,4,0,0,0,33.3,3.5,0.0,5.8,
オズソイネリマン,2020-11,NECレッドロケッツ,23,22,292,108,16,37.0,31.5,59,24,7,11,81,8,3,18,0,0,0,40.7,4.91,0.5,14.5,
オズソイネリマン,2020-12,NECレッドロケッツ,23,7,77,30,2,39.0,36.4,12,5,0,4,22,1,1,9,0,0,0,41.7,4.29,0.57,13.6,
オズソイネリマン,2021-01,NECレッドロケッツ,23,17,230,90,16,39.1,32.2,60,28,7,6,63,1,4,8,0,0,0,46.7,5.29,0.35,3.2,
オズソイネリマン,2021-02,NECレッドロケッツ,23,10,137,46,8,33.6,27.7,33,13,3,7,41,2,0,7,0,0,0,39.4,4.6,0.7,9.1,
クランヤナ,2020-10,東レアローズ,7,12,128,49,2,38.3,36.7,20,8,0,6,54,2,5,21,0,0,0,40.0,4.08,0.5,11.1,
クランヤナ,2020-11,東レアローズ,7,28,353,154,13,43.6,39.9,52,22,2,10,112,8,10,36,2,1,1,42.3,5.5,0.36,12.9,75.0
クランヤナ,2020-12,東レアローズ,7,7,94,40,2,42.6,40.4,10,5,0,3,25,3,4,5,0,0,0,50.0,5.71,0.43,13.0,
クランヤナ,2021-01,東レアローズ,7,17,215,84,13,39.1,33.0,34,20,2,9,60,6,7,14,1,0,1,58.8,4.94,0.53,12.9,50.0
クランヤナ,2021-02,東レアローズ,7,10,100,52,6,52.0,46.0,18,11,0,8,37,2,4,13,0,0,0,61.1,5.2,0.8,11.5,
グーパートポーンプン,2020-10,トヨタ車体クインシーズ,12,2,0,0,0,,,0,0,0,0,2,0,0,1,0,0,0,,0.0,0.0,12.5,
グーパートポーンプン,2020-11,トヨタ車体クインシーズ,12,14,7,6,0,85.7,85.7,1,1,0,0,16,0,0,4,0,0,0,100.0,0.43,0.0,6.2,
グーパートポーンプン,2020-12,トヨタ車体クインシーズ,12,4,1,1,0,100.0,100.0,0,0,0,1,16,0,2,1,0,0,0,,0.25,0.25,-1.6,
グーパートポーンプン,2021-01,トヨタ車体クインシーズ,12,12,7,4,0,57.1,57.1,0,0,0,2,59,1,2,10,1,0,0,,0.33,0.17,5.1,0.0
グーパートポーンプン,2021-02,トヨタ車体クインシーズ,12,4,2,0,0,0.0,0.0,0,0,0,0,5,0,1,1,1,0,0,,0.0,0.0,0.0,0.0
サンティアゴアライジャダフニ,2020-10,埼玉上尾メディックス,3,19,102,47,2,46.1,44.1,0,0,0,7,58,4,9,17,1,0,0,,2.47,0.37,10.3,0.0
サンティアゴアライジャダフニ,2020-11,埼玉上尾メディックス,3,21,91,38,6,41.8,35.2,0,0,0,6,55,3,7,13,6,1,2,,1.81,0.29,8.2,33.3
サンティアゴアライジャダフニ,2020-12,埼玉上尾メディックス,3,8,44,15,4,34.1,25.0,0,0,0,2,25,1,1,6,0,0,0,,1.88,0.25,9.0,
サンティアゴアライジャダフニ,2021-01,埼玉上尾メディックス,3,13,51,16,1,31.4,29.4,0,0,0,12,36,1,5,11,6,3,2,,1.23,0.92,6.9,66.7
サンティアゴアライジャダフニ,2021-02,埼玉上尾メディックス,3,9,47,24,0,51.1,51.1,0,0,0,5,22,0,4,8,1,0,0,,2.67,0.56,4.5,0.0
ジャラットハタイラット,2020-11,PFUブルーキャッツ,4,1,2,0,0,0.0,0.0,0,0,0,0,4,0,0,1,0,0,0,,0.0,0.0,6.2,
ジャラットハタイラット,2020-12,PFUブルーキャッツ,4,3,0,0,0,,,0,0,0,2,6,0,1,1,0,0,0,,0.0,0.67,0.0,
ジャラットハタイラット,2021-01,PFUブルーキャッツ,4,2,2,1,0,50.0,50.0,0,0,0,0,4,0,0,2,0,0,0,,0.5,0.0,12.5,
ジャラットハタイラット,2021-02,PFUブルーキャッツ,4,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
ジョセフシャイナ,2020-10,埼玉上尾メディックス,15,13,109,37,4,33.9,30.3,35,14,1,0,29,1,2,7,0,0,0,40.0,2.85,0.0,7.8,
ジョセフシャイナ,2020-11,埼玉上尾メディックス,15,20,192,59,7,30.7,27.1,55,14,4,5,60,1,7,18,1,0,0,25.5,2.95,0.25,6.2,0.0
ジョセフシャイナ,2020-12,埼玉上尾メディックス,15,8,131,58,5,44.3,40.5,44,17,4,1,20,1,3,2,0,0,0,38.6,7.25,0.12,3.8,
ジョセフシャイナ,2021-01,埼玉上尾メディックス,15,13,133,36,7,27.1,21.8,43,9,5,6,49,1,4,18,0,0,0,20.9,2.77,0.46,9.2,
ジョセフシャイナ,2021-02,埼玉上尾メディックス,15,11,101,38,4,37.6,33.7,26,7,2,4,35,1,2,7,0,0,0,26.9,3.45,0.36,6.4,
ソロカイテインドレ,2020-10,トヨタ車体クインシーズ,13,11,131,40,11,30.5,22.1,41,11,4,3,32,0,4,5,0,0,0,26.8,3.64,0.27,0.8,
ソロカイテインドレ,2020-11,トヨタ車体クインシーズ,13,29,342,120,31,35.1,26.0,97,28,11,10,107,9,20,16,0,0,0,28.9,4.14,0.34,7.5,
ソロカイテインドレ,2020-12,トヨタ車体クインシーズ,13,6,73,25,8,34.2,23.3,19,3,2,3,19,0,3,2,0,0,0,15.8,4.17,0.5,-1.3,
ソロカイテインドレ,2021-01,トヨタ車体クインシーズ,13,17,230,71,22,30.9,21.3,40,14,5,7,49,1,13,15,0,0,0,35.0,4.18,0.41,3.1,
ソロカイテインドレ,2021-02,トヨタ車体クインシーズ,13,8,95,35,3,36.8,33.7,24,8,2,1,21,0,7,6,1,0,0,33.3,4.38,0.12,-1.2,0.0
タップハンナ,2020-10,日立リヴァーレ,5,16,92,42,4,45.7,41.3,0,0,0,13,51,2,7,16,2,1,1,,2.62,0.81,8.3,75.0
タップハンナ,2020-11,日立リヴァーレ,5,28,150,67,8,44.7,39.3,0,0,0,11,67,3,7,19,5,2,1,,2.39,0.39,9.0,50.0
タップハンナ,2020-12,日立リヴァーレ,5,7,39,16,4,41.0,30.8,0,0,0,9,16,0,2,3,0,0,0,,2.29,1.29,1.6,
タップハンナ,2021-01,日立リヴァーレ,5,15,93,48,3,51.6,48.4,0,0,0,17,36,1,0,9,0,0,0,,3.2,1.13,9.0,
タップハンナ,2021-02,日立リヴァーレ,5,13,52,23,2,44.2,40.4,0,0,0,7,31,2,2,10,0,0,0,,1.77,0.54,12.9,
ドルーズアンドレア,2020-10,JTマーヴェラス,10,13,155,75,8,48.4,43.2,39,16,6,1,28,3,5,11,0,0,0,41.0,5.77,0.08,16.1,
ドルーズアンドレア,2020-11,JTマーヴェラス,10,26,242,118,13,48.8,43.4,57,28,6,9,71,2,12,24,0,0,0,49.1,4.54,0.35,7.0,
ドルーズアンドレア,2020-12,JTマーヴェラス,10,6,83,44,2,53.0,50.6,26,14,0,0,19,1,1,6,0,0,0,53.8,7.33,0.0,11.8,
ドルーズアンドレア,2021-01,JTマーヴェラス,10,13,161,84,5,52.2,49.1,51,27,1,3,35,2,7,15,1,0,1,52.9,6.46,0.23,11.4,50.0
ドルーズアンドレア,2021-02,JTマーヴェラス,10,14,154,76,8,49.4,44.2,57,29,5,6,46,6,11,21,0,0,0,50.9,5.43,0.43,18.5,
ヌクジャンタットダオ,2021-01,JTマーヴェラス,7,4,14,6,0,42.9,42.9,0,0,0,3,21,0,1,6,0,0,0,,1.5,0.75,6.0,
ヌクジャンタットダオ,2021-02,JTマーヴェラス,7,14,51,24,4,47.1,39.2,0,0,0,13,48,1,3,15,0,0,0,,1.71,0.93,8.3,
ヒックマンジャスティス,2020-10,JTマーヴェラス,14,5,36,13,1,36.1,33.3,3,2,0,2,22,1,0,3,21,11,7,66.7,2.6,0.4,8.0,69.0
ヒックマンジャスティス,2020-11,JTマーヴェラス,14,3,1,0,0,0.0,0.0,0,0,0,0,2,0,0,0,3,1,1,,0.0,0.0,0.0,50.0
ヒックマンジャスティス,2020-12,JTマーヴェラス,14,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
ヒックマンジャスティス,2021-01,JTマーヴェラス,14,8,39,18,2,46.2,41.0,5,3,0,1,24,2,1,7,55,26,14,60.0,2.25,0.12,14.6,60.0
ヒックマンジャスティス,2021-02,JTマーヴェラス,14,4,3,0,1,0.0,-33.3,0,0,0,0,6,0,1,2,4,3,1,,0.0,0.0,4.2,87.5
プラマーキャサリン,2020-10,デンソーエアリービーズ,22,9,91,40,6,44.0,37.4,18,6,3,5,20,0,4,5,16,4,3,33.3,4.44,0.56,1.2,34.4
プラマーキャサリン,2020-11,デンソーエアリービーズ,22,21,170,73,10,42.9,37.1,26,13,4,10,49,7,3,14,25,12,4,50.0,3.48,0.48,19.9,56.0
プラマーキャサリン,2020-12,デンソーエアリービーズ,22,6,78,35,6,44.9,37.2,11,6,1,4,16,1,2,4,11,6,2,54.5,5.83,0.67,9.4,63.6
プラマーキャサリン,2021-01,デンソーエアリービーズ,22,7,118,52,5,44.1,39.8,30,15,2,5,19,0,3,3,8,2,2,50.0,7.43,0.71,0.0,37.5
プラマーキャサリン,2021-02,デンソーエアリービーズ,22,19,221,102,16,46.2,38.9,38,20,8,5,61,3,10,27,42,11,11,52.6,5.37,0.26,11.9,39.3
マルティニュークアリョーナ,2020-11,ヴィクトリーナ姫路,20,10,89,34,4,38.2,33.7,13,8,0,1,19,0,3,5,0,0,0,61.5,3.4,0.1,2.6,
マルティニュークアリョーナ,2020-12,ヴィクトリーナ姫路,20,2,6,1,0,16.7,16.7,1,0,0,0,1,0,0,0,0,0,0,0.0,0.5,0.0,0.0,
マルティニュークアリョーナ,2021-01,ヴィクトリーナ姫路,20,9,89,24,6,27.0,20.2,18,3,1,4,17,0,1,3,0,0,0,16.7,2.67,0.44,2.9,
マルティニュークアリョーナ,2021-02,ヴィクトリーナ姫路,20,5,8,4,0,50.0,50.0,0,0,0,1,0,0,0,0,0,0,0,,0.8,0.2,,
リーシモーン,2020-10,KUROBEアクアフェアリーズ,10,14,167,44,15,26.3,17.4,42,10,8,6,36,2,6,14,4,0,1,23.8,3.14,0.43,11.1,12.5
リーシモーン,2020-11,KUROBEアクアフェアリーズ,10,24,328,124,20,37.8,31.7,86,36,7,7,69,5,4,26,3,0,1,41.9,5.17,0.29,15.2,16.7
リーシモーン,2020-12,KUROBEアクアフェアリーズ,10,8,110,40,7,36.4,30.0,24,8,3,6,21,2,2,5,0,0,0,33.3,5.0,0.75,13.1,
リーシモーン,2021-01,KUROBEアクアフェアリーズ,10,19,240,77,21,32.1,23.3,46,15,4,5,40,1,5,7,2,1,1,32.6,4.05,0.26,3.8,75.0
リーシモーン,2021-02,KUROBEアクアフェアリーズ,10,7,83,30,7,36.1,27.7,17,7,0,6,19,0,1,8,0,0,0,41.2,4.29,0.86,9.2,
上坂瑠子,2020-10,日立リヴァーレ,1,11,89,27,7,30.3,22.5,0,0,0,1,45,1,2,17,50,24,4,,2.45,0.09,10.6,52.0
上坂瑠子,2020-11,日立リヴァーレ,1,28,330,99,23,30.0,23.0,27,3,2,4,119,5,3,40,238,105,61,11.1,3.54,0.14,12.0,56.9
上坂瑠子,2020-12,日立リヴァーレ,1,7,91,23,10,25.3,14.3,3,1,1,2,27,3,1,6,42,17,16,33.3,3.29,0.29,15.7,59.5
上坂瑠子,2021-01,日立リヴァーレ,1,15,207,58,9,28.0,23.7,11,1,0,7,52,0,2,14,110,51,29,9.1,3.87,0.47,5.8,59.5
上坂瑠子,2021-02,日立リヴァーレ,1,12,121,42,5,34.7,30.6,5,0,0,2,41,3,1,11,86,45,15,0.0,3.5,0.17,13.4,61.0
上野香織,2020-10,NECレッドロケッツ,6,3,14,7,1,50.0,42.9,0,0,0,0,10,0,0,3,0,0,0,,2.33,0.0,7.5,
上野香織,2020-11,NECレッドロケッツ,6,13,38,17,1,44.7,42.1,0,0,0,1,27,0,5,4,7,3,1,,1.31,0.08,-0.9,50.0
上野香織,2020-12,NECレッドロケッツ,6,4,17,9,0,52.9,52.9,0,0,0,1,17,0,3,2,3,3,0,,2.25,0.25,-1.5,100.0
上野香織,2021-01,NECレッドロケッツ,6,12,44,23,1,52.3,50.0,0,0,0,1,36,1,4,6,3,3,0,,1.92,0.08,4.2,100.0
上野香織,2021-02,NECレッドロケッツ,6,9,32,11,0,34.4,34.4,0,0,0,2,22,4,3,7,2,0,2,,1.22,0.22,22.7,50.0
中元南,2020-10,デンソーエアリービーズ,1,8,77,23,3,29.9,26.0,11,0,0,0,32,1,0,12,54,33,6,0.0,2.88,0.0,12.5,66.7
中元南,2020-11,デンソーエアリービーズ,1,28,299,84,14,28.1,23.4,22,4,2,1,99,0,5,20,215,107,54,18.2,3.0,0.04,3.8,62.3
中元南,2020-12,デンソーエアリービーズ,1,7,45,14,5,31.1,20.0,4,0,1,1,24,0,1,11,72,33,14,0.0,2.0,0.14,10.4,55.6
中元南,2021-01,デンソーエアリービーズ,1,6,25,4,1,16.0,12.0,3,0,0,0,10,0,3,5,18,10,2,0.0,0.67,0.0,5.0,61.1
中元南,2021-02,デンソーエアリービーズ,1,10,40,11,2,27.5,22.5,5,0,1,0,20,1,1,7,69,34,20,0.0,1.1,0.0,12.5,63.8
中屋夏澄,2020-10,トヨタ車体クインシーズ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
中屋夏澄,2020-11,トヨタ車体クインシーズ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
中屋夏澄,2021-01,トヨタ車体クインシーズ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
中屋夏澄,2021-02,トヨタ車体クインシーズ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
中島未来,2020-10,東レアローズ,6,6,0,0,0,,,0,0,0,0,0,0,0,0,13,7,5,,0.0,0.0,,73.1
中島未来,2020-11,東レアローズ,6,8,0,0,0,,,0,0,0,0,0,0,0,0,27,16,6,,0.0,0.0,,70.4
中島未来,2020-12,東レアローズ,6,4,0,0,0,,,0,0,0,0,0,0,0,0,12,3,4,,0.0,0.0,,41.7
中島未来,2021-01,東レアローズ,6,7,0,0,0,,,0,0,0,0,0,0,0,0,27,13,6,,0.0,0.0,,59.3
中島未来,2021-02,東レアローズ,6,4,0,0,0,,,0,0,0,0,0,0,0,0,11,4,5,,0.0,0.0,,59.1
中川美柚,2020-10,久光スプリングス,14,14,85,31,2,36.5,34.1,1,0,0,4,57,1,3,13,43,16,8,0.0,2.21,0.29,6.1,46.5
中川美柚,2020-11,久光スプリングス,14,17,101,31,8,30.7,22.8,4,0,0,5,56,0,1,9,93,36,29,0.0,1.82,0.29,3.6,54.3
中川美柚,2020-12,久光スプリングス,14,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
中川美柚,2021-01,久光スプリングス,14,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
中川美柚,2021-02,久光スプリングス,14,3,3,0,1,0.0,-33.3,0,0,0,1,12,2,0,3,4,0,1,,0.0,0.33,22.9,12.5
中本柚朱,2021-01,岡山シーガルズ,33,13,65,23,3,35.4,30.8,1,1,0,1,31,0,0,12,57,23,13,100.0,1.77,0.08,9.7,51.8
中本柚朱,2021-02,岡山シーガルズ,33,5,33,7,4,21.2,9.1,0,0,0,2,7,0,0,1,29,5,9,,1.4,0.4,3.6,32.8
中本葉月,2020-10,埼玉上尾メディックス,13,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
中本葉月,2020-11,埼玉上尾メディックス,13,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
中村安里,2020-11,日立リヴァーレ,11,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
中村安里,2021-01,日立リヴァーレ,11,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
中田紫乃,2020-10,東レアローズ,5,9,16,6,0,37.5,37.5,0,0,0,3,2,0,0,2,8,0,4,,0.67,0.33,25.0,25.0
中田紫乃,2020-11,東レアローズ,5,19,28,8,1,28.6,25.0,0,0,0,0,6,1,1,2,27,9,4,,0.42,0.0,20.8,40.7
中田紫乃,2020-12,東レアローズ,5,6,6,1,0,16.7,16.7,0,0,0,0,10,0,0,3,10,3,2,,0.17,0.0,7.5,40.0
中田紫乃,2021-01,東レアローズ,5,8,8,1,0,12.5,12.5,0,0,0,0,7,0,0,0,0,0,0,,0.12,0.0,0.0,
中田紫乃,2021-02,東レアローズ,5,7,15,5,0,33.3,33.3,0,0,0,1,9,0,0,4,19,4,9,,0.71,0.14,11.1,44.7
丸山亜季,2020-10,岡山シーガルズ,20,7,0,0,0,,,0,0,0,0,0,0,0,0,2,1,1,,0.0,0.0,,75.0
丸山亜季,2020-11,岡山シーガルズ,20,21,0,0,0,,,0,0,0,0,0,0,0,0,1,1,0,,0.0,0.0,,100.0
丸山亜季,2020-12,岡山シーガルズ,20,2,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,,0.0,0.0,,0.0
丸山亜季,2021-01,岡山シーガルズ,20,15,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
丸山亜季,2021-02,岡山シーガルズ,20,10,0,0,0,,,0,0,0,0,0,0,0,0,3,1,1,,0.0,0.0,,50.0
丸山紗季,2020-10,KUROBEアクアフェアリーズ,1,13,0,0,0,,,0,0,0,0,19,0,1,6,11,4,4,,0.0,0.0,6.6,54.5
丸山紗季,2020-11,KUROBEアクアフェアリーズ,1,16,0,0,0,,,0,0,0,0,21,0,3,5,3,1,2,,0.0,0.0,2.4,66.7
丸山紗季,2020-12,KUROBEアクアフェアリーズ,1,5,0,0,0,,,0,0,0,0,8,0,2,2,0,0,0,,0.0,0.0,0.0,
丸山紗季,2021-01,KUROBEアクアフェアリーズ,1,7,1,0,0,0.0,0.0,0,0,0,0,9,0,1,3,1,0,1,,0.0,0.0,5.6,50.0
丸山紗季,2021-02,KUROBEアクアフェアリーズ,1,6,6,1,0,16.7,16.7,0,0,0,0,7,0,1,1,30,6,13,,0.17,0.0,0.0,41.7
井上奈々朱,2020-10,東レアローズ,1,9,20,9,1,45.0,40.0,0,0,0,7,32,1,5,12,3,1,1,,1.0,0.78,8.6,50.0
井上奈々朱,2020-11,東レアローズ,1,14,31,15,2,48.4,41.9,0,0,0,8,29,3,1,10,1,1,0,,1.07,0.57,18.1,100.0
井上奈々朱,2020-12,東レアローズ,1,4,10,4,1,40.0,30.0,0,0,0,2,11,0,0,4,0,0,0,,1.0,0.5,9.1,
井上奈々朱,2021-01,東レアローズ,1,11,24,14,1,58.3,54.2,0,0,0,8,37,2,6,7,0,0,0,,1.27,0.73,6.1,
井上奈々朱,2021-02,東レアローズ,1,7,16,5,3,31.2,12.5,0,0,0,6,19,0,2,10,0,0,0,,0.71,0.86,10.5,
井上愛里沙,2020-10,久光スプリングス,5,13,165,60,3,36.4,34.5,3,1,0,6,44,0,4,15,73,27,16,33.3,4.62,0.46,6.2,47.9
井上愛里沙,2020-11,久光スプリングス,5,19,195,68,9,34.9,30.3,16,4,0,5,55,4,4,13,46,12,13,25.0,3.58,0.26,11.4,40.2
井上愛里沙,2020-12,久光スプリングス,5,7,88,29,4,33.0,28.4,13,2,2,4,24,1,3,4,15,8,3,15.4,4.14,0.57,5.2,63.3
井上愛里沙,2021-01,久光スプリングス,5,19,162,56,7,34.6,30.2,13,3,1,12,75,2,5,19,28,15,6,23.1,2.95,0.63,7.3,64.3
井上愛里沙,2021-02,久光スプリングス,5,9,61,18,2,29.5,26.2,5,1,0,2,21,0,2,4,16,7,3,20.0,2.0,0.22,2.4,53.1
井上琴絵,2020-10,デンソーエアリービーズ,11,9,0,0,0,,,0,0,0,0,0,0,0,0,23,16,2,,0.0,0.0,,73.9
