名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
芳賀舞波,2021-02,日立リヴァーレ,6,5,10,4,0,40.0,40.0,0,0,0,2,14,0,0,7,0,0,0,,0.8,0.4,12.5,
荒木彩花,2020-10,久光スプリングス,20,3,7,0,0,0.0,0.0,0,0,0,0,6,0,1,2,2,0,1,,0.0,0.0,4.2,25.0
荒木彩花,2021-01,久光スプリングス,20,20,54,25,0,46.3,46.3,0,0,0,13,57,1,5,15,3,0,2,,1.25,0.65,6.1,33.3
荒木彩花,2021-02,久光スプリングス,20,9,31,7,3,22.6,12.9,0,0,0,9,26,0,2,5,2,0,1,,0.78,1.0,2.9,25.0
荒木絵里香,2020-10,トヨタ車体クインシーズ,11,11,52,20,1,38.5,36.5,0,0,0,10,44,5,1,11,0,0,0,,1.82,0.91,17.0,
荒木絵里香,2020-11,トヨタ車体クインシーズ,11,29,124,50,9,40.3,33.1,0,0,0,25,111,7,7,31,2,1,1,,1.72,0.86,11.7,75.0
荒木絵里香,2020-12,トヨタ車体クインシーズ,11,6,20,11,0,55.0,55.0,0,0,0,3,23,1,2,9,1,0,0,,1.83,0.5,12.0,0.0
荒木絵里香,2021-01,トヨタ車体クインシーズ,11,17,52,20,3,38.5,32.7,0,0,0,15,67,3,2,27,2,1,1,,1.18,0.88,13.8,75.0
荒木絵里香,2021-02,トヨタ車体クインシーズ,11,9,33,11,3,33.3,24.2,0,0,0,5,23,1,2,10,0,0,0,,1.22,0.56,13.0,
荒谷栞,2020-10,ヴィクトリーナ姫路,11,13,53,21,1,39.6,37.7,0,0,0,5,43,1,4,11,0,0,0,,1.62,0.38,6.4,
荒谷栞,2020-11,ヴィクトリーナ姫路,11,28,122,36,8,29.5,23.0,1,0,0,10,70,5,9,24,2,1,0,0.0,1.29,0.36,12.5,50.0
荒谷栞,2020-12,ヴィクトリーナ姫路,11,7,22,5,3,22.7,9.1,0,0,0,6,23,0,0,9,0,0,0,,0.71,0.86,9.8,
荒谷栞,2021-01,ヴィクトリーナ姫路,11,22,84,32,4,38.1,33.3,2,0,0,11,88,4,6,28,4,1,1,0.0,1.45,0.5,10.8,37.5
荒谷栞,2021-02,ヴィクトリーナ姫路,11,7,36,15,0,41.7,41.7,0,0,0,1,21,0,1,7,1,1,0,,2.14,0.14,7.1,100.0
藪田美穂子,2020-10,トヨタ車体クインシーズ,17,11,96,31,7,32.3,25.0,8,2,3,4,41,0,2,14,79,30,19,25.0,2.82,0.36,7.3,50.0
藪田美穂子,2020-11,トヨタ車体クインシーズ,17,29,253,87,19,34.4,26.9,10,3,1,7,120,6,11,46,272,118,59,30.0,3.0,0.24,12.3,54.2
藪田美穂子,2020-12,トヨタ車体クインシーズ,17,6,59,21,5,35.6,27.1,2,0,0,1,35,3,2,6,46,15,19,0.0,3.5,0.17,11.4,53.3
藪田美穂子,2021-01,トヨタ車体クインシーズ,17,17,146,53,13,36.3,27.4,9,2,1,3,56,2,6,11,135,44,31,22.2,3.12,0.18,5.8,44.1
藪田美穂子,2021-02,トヨタ車体クインシーズ,17,9,90,25,10,27.8,16.7,8,2,2,3,29,0,4,12,62,21,18,25.0,2.78,0.33,6.9,48.4
西川有喜,2020-10,JTマーヴェラス,13,1,9,3,0,33.3,33.3,1,0,0,1,1,0,0,1,0,0,0,0.0,3.0,1.0,25.0,
西川有喜,2020-12,JTマーヴェラス,13,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
西川有喜,2021-01,JTマーヴェラス,13,1,2,0,1,0.0,-50.0,2,0,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,
西川有喜,2021-02,JTマーヴェラス,13,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
西村弥菜美,2020-10,岡山シーガルズ,10,7,9,2,0,22.2,22.2,2,0,0,0,11,0,0,4,12,4,4,0.0,0.29,0.0,9.1,50.0
西村弥菜美,2020-11,岡山シーガルズ,10,14,16,4,1,25.0,18.8,0,0,0,1,23,1,0,9,28,13,7,,0.29,0.07,14.1,58.9
西村弥菜美,2020-12,岡山シーガルズ,10,4,2,1,0,50.0,50.0,0,0,0,0,5,0,0,0,4,3,0,,0.25,0.0,0.0,75.0
西村弥菜美,2021-01,岡山シーガルズ,10,16,4,1,1,25.0,0.0,0,0,0,0,10,1,0,4,40,22,12,,0.06,0.0,20.0,70.0
西村弥菜美,2021-02,岡山シーガルズ,10,10,5,1,0,20.0,20.0,0,0,0,0,5,0,0,1,37,15,12,,0.1,0.0,5.0,56.8
貞包里穂,2020-10,ヴィクトリーナ姫路,1,10,98,29,4,29.6,25.5,6,3,0,5,34,0,0,7,39,12,6,50.0,2.9,0.5,5.1,38.5
貞包里穂,2020-11,ヴィクトリーナ姫路,1,25,258,72,10,27.9,24.0,22,8,0,1,94,6,4,22,91,25,25,36.4,2.88,0.04,11.2,41.2
貞包里穂,2020-12,ヴィクトリーナ姫路,1,7,86,33,4,38.4,33.7,14,5,3,0,29,2,2,13,17,2,4,35.7,4.71,0.0,16.4,23.5
貞包里穂,2021-01,ヴィクトリーナ姫路,1,19,195,63,3,32.3,30.8,17,4,1,2,61,3,3,16,69,22,14,23.5,3.32,0.11,10.2,42.0
貞包里穂,2021-02,ヴィクトリーナ姫路,1,7,66,26,2,39.4,36.4,9,4,0,0,26,1,0,11,13,3,3,44.4,3.71,0.0,14.4,34.6
辻彩乃,2020-10,トヨタ車体クインシーズ,9,1,0,0,0,,,0,0,0,0,2,0,0,0,0,0,0,,0.0,0.0,0.0,
辻彩乃,2020-11,トヨタ車体クインシーズ,9,1,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,,0.0,0.0,-25.0,
辻彩乃,2021-01,トヨタ車体クインシーズ,9,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
辻彩乃,2021-02,トヨタ車体クインシーズ,9,3,3,0,0,0.0,0.0,0,0,0,0,2,1,1,1,0,0,0,,0.0,0.0,50.0,
道下ひなの,2020-10,KUROBEアクアフェアリーズ,21,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
道下ひなの,2020-11,KUROBEアクアフェアリーズ,21,6,6,1,0,16.7,16.7,0,0,0,0,11,1,0,1,0,0,0,,0.17,0.0,11.4,
道下ひなの,2021-01,KUROBEアクアフェアリーズ,21,11,41,16,2,39.0,34.1,0,0,0,2,38,2,2,10,0,0,0,,1.45,0.18,10.5,
道下ひなの,2021-02,KUROBEアクアフェアリーズ,21,7,32,8,3,25.0,15.6,0,0,0,2,13,0,1,4,1,0,1,,1.14,0.29,5.8,50.0
遠藤彩萌,2020-11,岡山シーガルズ,13,2,3,2,1,66.7,33.3,0,0,0,0,1,0,0,0,0,0,0,,1.0,0.0,0.0,
遠藤彩萌,2021-01,岡山シーガルズ,13,3,7,2,1,28.6,14.3,0,0,0,0,0,0,0,0,0,0,0,,0.67,0.0,,
野中瑠衣,2020-10,日立リヴァーレ,19,12,0,0,0,,,0,0,0,0,19,1,0,8,2,1,0,,0.0,0.0,15.8,50.0
野中瑠衣,2020-11,日立リヴァーレ,19,24,102,36,8,35.3,27.5,11,1,1,5,58,0,3,20,113,48,33,9.1,1.5,0.21,7.3,57.1
野中瑠衣,2020-12,日立リヴァーレ,19,7,42,18,4,42.9,33.3,5,3,0,0,25,1,2,9,45,23,10,60.0,2.57,0.0,11.0,62.2
野中瑠衣,2021-01,日立リヴァーレ,19,15,68,15,4,22.1,16.2,0,0,0,2,71,5,3,30,116,56,26,,1.0,0.13,16.5,59.5
野中瑠衣,2021-02,日立リヴァーレ,19,14,58,20,4,34.5,27.6,0,0,0,3,34,2,7,13,96,44,23,,1.43,0.21,10.3,57.8
野呂加南子,2020-10,東レアローズ,13,3,1,0,0,0.0,0.0,0,0,0,0,2,0,0,1,0,0,0,,0.0,0.0,12.5,
野呂加南子,2020-11,東レアローズ,13,5,0,0,0,,,0,0,0,0,8,0,0,0,0,0,0,,0.0,0.0,0.0,
野呂加南子,2020-12,東レアローズ,13,6,19,8,1,42.1,36.8,0,0,0,0,1,0,0,1,9,4,2,,1.33,0.0,25.0,55.6
野呂加南子,2021-01,東レアローズ,13,11,6,1,1,16.7,0.0,0,0,0,0,15,1,0,6,6,2,2,,0.09,0.0,16.7,50.0
野呂加南子,2021-02,東レアローズ,13,8,24,7,1,29.2,25.0,0,0,0,2,5,0,1,3,10,3,2,,0.88,0.25,10.0,40.0
野嶋華澄,2020-10,NECレッドロケッツ,8,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
野嶋華澄,2020-11,NECレッドロケッツ,8,12,0,0,0,,,0,0,0,0,14,0,1,4,0,0,0,,0.0,0.0,5.4,
野嶋華澄,2020-12,NECレッドロケッツ,8,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,
野嶋華澄,2021-01,NECレッドロケッツ,8,7,0,0,0,,,0,0,0,0,10,0,0,2,0,0,0,,0.0,0.0,5.0,
野本梨佳,2020-10,久光スプリングス,8,7,82,25,0,30.5,30.5,3,1,0,3,30,0,1,9,43,18,10,33.3,3.57,0.43,6.7,53.5
野本梨佳,2020-11,久光スプリングス,8,12,114,37,11,32.5,22.8,9,1,1,0,40,0,1,8,46,17,9,11.1,3.08,0.0,4.4,46.7
野本梨佳,2020-12,久光スプリングス,8,7,68,18,4,26.5,20.6,2,0,1,4,25,0,1,5,35,19,5,0.0,2.57,0.57,4.0,61.4
野本梨佳,2021-01,久光スプリングス,8,22,210,81,7,38.6,35.2,9,2,1,7,86,3,6,30,127,40,35,22.2,3.68,0.32,10.5,45.3
野本梨佳,2021-02,久光スプリングス,8,9,110,32,6,29.1,23.6,5,1,0,4,31,2,1,11,29,9,10,20.0,3.56,0.44,14.5,48.3
金杉由香,2020-10,ヴィクトリーナ姫路,6,5,54,16,5,29.6,20.4,4,1,1,1,17,0,2,6,13,1,3,25.0,3.2,0.2,5.9,19.2
金杉由香,2020-11,ヴィクトリーナ姫路,6,19,194,69,8,35.6,31.4,19,7,1,1,58,2,6,18,53,19,15,36.8,3.63,0.05,8.6,50.0
金杉由香,2020-12,ヴィクトリーナ姫路,6,1,0,0,0,,,0,0,0,0,2,0,0,0,0,0,0,,0.0,0.0,0.0,
金杉由香,2021-01,ヴィクトリーナ姫路,6,10,75,22,8,29.3,18.7,7,1,0,2,18,0,3,7,15,8,1,14.3,2.2,0.2,5.6,56.7
金杉由香,2021-02,ヴィクトリーナ姫路,6,2,13,4,1,30.8,23.1,0,0,0,0,2,0,0,1,12,8,3,,2.0,0.0,12.5,79.2
金田修佳,2020-10,岡山シーガルズ,18,14,183,67,5,36.6,33.9,0,0,0,3,47,0,0,5,96,50,18,,4.79,0.21,2.7,61.5
金田修佳,2020-11,岡山シーガルズ,18,27,328,130,9,39.6,36.9,0,0,0,4,73,0,1,13,137,72,24,,4.81,0.15,4.1,61.3
金田修佳,2020-12,岡山シーガルズ,18,7,79,20,3,25.3,21.5,0,0,0,3,21,0,0,2,56,39,5,,2.86,0.43,2.4,74.1
金田修佳,2021-01,岡山シーガルズ,18,18,175,62,3,35.4,33.7,2,1,0,2,57,1,3,15,90,47,13,50.0,3.44,0.11,7.0,59.4
金田修佳,2021-02,岡山シーガルズ,18,12,118,41,3,34.7,32.2,1,0,0,4,35,0,0,7,65,27,17,0.0,3.42,0.33,5.0,54.6
鍋谷友理枝,2020-10,デンソーエアリービーズ,15,6,30,8,2,26.7,20.0,2,1,1,2,18,1,2,7,20,12,1,50.0,1.33,0.33,12.5,62.5
鍋谷友理枝,2020-11,デンソーエアリービーズ,15,22,187,74,3,39.6,38.0,11,5,0,4,79,2,5,19,146,80,37,45.5,3.36,0.18,7.0,67.5
鍋谷友理枝,2020-12,デンソーエアリービーズ,15,6,42,14,2,33.3,28.6,4,2,0,1,16,2,0,5,22,10,5,50.0,2.33,0.17,20.3,56.8
鍋谷友理枝,2021-01,デンソーエアリービーズ,15,6,35,9,2,25.7,20.0,4,0,0,2,22,1,0,5,27,13,7,0.0,1.5,0.33,10.2,61.1
鍋谷友理枝,2021-02,デンソーエアリービーズ,15,14,124,36,3,29.0,26.6,11,0,0,3,47,2,3,11,54,25,16,0.0,2.57,0.21,8.5,61.1
長内美和子,2020-10,日立リヴァーレ,13,15,129,50,12,38.8,29.5,5,0,1,0,41,2,12,10,72,34,18,0.0,3.33,0.0,3.7,59.7
長内美和子,2020-11,日立リヴァーレ,13,28,367,115,24,31.3,24.8,21,6,3,7,79,6,21,32,27,12,8,28.6,4.11,0.25,11.1,59.3
長内美和子,2020-12,日立リヴァーレ,13,7,84,28,3,33.3,29.8,7,2,0,2,24,3,1,8,0,0,0,28.6,4.0,0.29,19.8,
長内美和子,2021-01,日立リヴァーレ,13,5,60,19,2,31.7,28.3,1,0,0,0,11,0,1,3,14,2,7,0.0,3.8,0.0,4.5,39.3
長内美和子,2021-02,日立リヴァーレ,13,8,59,12,2,20.3,16.9,0,0,0,1,18,1,5,3,47,21,8,,1.5,0.12,2.8,53.2
長岡望悠,2020-10,久光スプリングス,1,5,30,13,3,43.3,33.3,2,1,1,0,10,0,1,3,0,0,0,50.0,2.6,0.0,5.0,
長岡望悠,2020-11,久光スプリングス,1,10,77,39,3,50.6,46.8,15,7,1,2,25,0,3,2,0,0,0,46.7,3.9,0.2,-1.0,
長岡望悠,2020-12,久光スプリングス,1,5,18,10,0,55.6,55.6,0,0,0,1,0,0,0,0,0,0,0,,2.0,0.2,,
長岡望悠,2021-01,久光スプリングス,1,7,25,10,5,40.0,20.0,6,2,3,0,10,0,2,1,1,1,0,33.3,1.43,0.0,-2.5,100.0
長瀬そら,2020-10,岡山シーガルズ,26,1,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,,0.0,0.0,-25.0,
長瀬そら,2020-11,岡山シーガルズ,26,4,11,3,0,27.3,27.3,0,0,0,0,6,0,0,0,0,0,0,,0.75,0.0,0.0,
長瀬そら,2020-12,岡山シーガルズ,26,3,13,4,1,30.8,23.1,0,0,0,1,8,0,0,3,0,0,0,,1.33,0.33,9.4,
長瀬そら,2021-01,岡山シーガルズ,26,9,32,13,4,40.6,28.1,0,0,0,6,20,1,2,2,1,1,0,,1.44,0.67,5.0,100.0
長瀬そら,2021-02,岡山シーガルズ,26,8,42,13,1,31.0,28.6,0,0,0,5,11,0,0,4,1,0,1,,1.62,0.62,9.1,50.0
長野有紗,2020-10,ヴィクトリーナ姫路,5,10,37,10,1,27.0,24.3,0,0,0,2,30,0,3,12,2,2,0,,1.0,0.2,7.5,100.0
長野有紗,2020-11,ヴィクトリーナ姫路,5,23,93,36,4,38.7,34.4,0,0,0,7,71,1,10,20,4,0,2,,1.57,0.3,4.9,25.0
長野有紗,2020-12,ヴィクトリーナ姫路,5,4,14,4,2,28.6,14.3,0,0,0,2,12,0,3,4,0,0,0,,1.0,0.5,2.1,
長野有紗,2021-01,ヴィクトリーナ姫路,5,4,8,3,0,37.5,37.5,0,0,0,1,10,0,0,3,0,0,0,,0.75,0.25,7.5,
長野有紗,2021-02,ヴィクトリーナ姫路,5,2,3,1,0,33.3,33.3,0,0,0,1,4,0,0,0,1,1,0,,0.5,0.5,0.0,100.0
間橋香織,2020-10,KUROBEアクアフェアリーズ,3,18,156,61,9,39.1,33.3,3,0,1,10,46,0,6,14,94,43,30,0.0,3.39,0.56,4.3,61.7
間橋香織,2020-11,KUROBEアクアフェアリーズ,3,24,186,66,12,35.5,29.0,5,1,1,4,79,1,5,18,211,67,69,20.0,2.75,0.17,5.4,48.1
間橋香織,2020-12,KUROBEアクアフェアリーズ,3,8,52,19,4,36.5,28.8,0,0,0,0,20,0,3,4,59,13,20,,2.38,0.0,1.2,39.0
間橋香織,2021-01,KUROBEアクアフェアリーズ,3,14,110,39,9,35.5,27.3,4,2,1,5,35,0,5,13,118,42,39,50.0,2.79,0.36,5.7,52.1
関菜々巳,2020-10,東レアローズ,10,12,3,3,0,100.0,100.0,0,0,0,0,40,4,2,17,0,0,0,,0.25,0.0,19.4,
関菜々巳,2020-11,東レアローズ,10,28,11,8,0,72.7,72.7,0,0,0,0,89,5,3,26,1,0,0,,0.29,0.0,12.1,0.0
関菜々巳,2020-12,東レアローズ,10,7,0,0,0,,,0,0,0,0,14,0,2,4,1,0,1,,0.0,0.0,3.6,50.0
関菜々巳,2021-01,東レアローズ,10,14,1,1,0,100.0,100.0,0,0,0,2,55,4,0,20,1,0,0,,0.07,0.14,16.4,0.0
関菜々巳,2021-02,東レアローズ,10,10,7,1,0,14.3,14.3,1,0,0,1,38,3,0,11,0,0,0,0.0,0.1,0.1,15.1,
雑賀恵斗,2020-10,日立リヴァーレ,21,14,12,5,0,41.7,41.7,0,0,0,0,37,0,5,16,1,0,0,,0.36,0.0,7.4,0.0
雑賀恵斗,2020-11,日立リヴァーレ,21,18,12,3,0,25.0,25.0,0,0,0,3,40,0,8,15,1,0,0,,0.17,0.17,4.4,0.0
雑賀恵斗,2020-12,日立リヴァーレ,21,2,0,0,0,,,0,0,0,2,1,0,0,0,0,0,0,,0.0,1.0,0.0,
雑賀恵斗,2021-01,日立リヴァーレ,21,5,5,4,0,80.0,80.0,0,0,0,0,11,1,1,1,0,0,0,,0.8,0.0,9.1,
雑賀恵斗,2021-02,日立リヴァーレ,21,8,7,2,1,28.6,14.3,0,0,0,1,17,0,2,2,0,0,0,,0.25,0.12,0.0,
青柳京古,2020-10,埼玉上尾メディックス,11,16,80,26,2,32.5,30.0,0,0,0,2,52,2,2,11,2,0,1,,1.62,0.12,8.2,25.0
青柳京古,2020-11,埼玉上尾メディックス,11,21,100,40,3,40.0,37.0,1,0,0,8,84,4,6,20,7,2,0,0.0,1.9,0.38,8.9,28.6
青柳京古,2020-12,埼玉上尾メディックス,11,8,36,9,1,25.0,22.2,0,0,0,3,25,1,0,5,1,0,0,,1.12,0.38,9.0,0.0
青柳京古,2021-01,埼玉上尾メディックス,11,13,60,33,1,55.0,53.3,0,0,0,5,49,3,1,17,9,8,1,,2.54,0.38,14.3,94.4
青柳京古,2021-02,埼玉上尾メディックス,11,11,62,30,0,48.4,48.4,0,0,0,3,37,0,3,9,3,0,0,,2.73,0.27,4.1,0.0
馬場ゆりか,2020-10,KUROBEアクアフェアリーズ,4,7,0,0,0,,,0,0,0,0,0,0,0,0,25,12,6,,0.0,0.0,,60.0
馬場ゆりか,2020-11,KUROBEアクアフェアリーズ,4,7,0,0,0,,,0,0,0,0,0,0,0,0,3,1,0,,0.0,0.0,,33.3
馬場ゆりか,2020-12,KUROBEアクアフェアリーズ,4,4,0,0,0,,,0,0,0,0,0,0,0,0,3,2,1,,0.0,0.0,,83.3
馬場ゆりか,2021-01,KUROBEアクアフェアリーズ,4,16,0,0,0,,,0,0,0,0,0,0,0,0,47,27,14,,0.0,0.0,,72.3
馬場ゆりか,2021-02,KUROBEアクアフェアリーズ,4,7,0,0,0,,,0,0,0,0,0,0,0,0,26,12,6,,0.0,0.0,,57.7
高柳有里,2020-10,岡山シーガルズ,9,1,0,0,0,,,0,0,0,0,1,0,0,0,1,1,0,,0.0,0.0,0.0,100.0
高柳有里,2020-11,岡山シーガルズ,9,4,28,8,0,28.6,28.6,0,0,0,1,5,0,0,3,15,3,4,,2.0,0.25,15.0,33.3
高相みな実,2020-10,PFUブルーキャッツ,8,7,69,24,1,34.8,33.3,4,1,1,2,15,0,4,1,43,17,4,25.0,3.43,0.29,-5.0,44.2
高相みな実,2020-11,PFUブルーキャッツ,8,29,245,78,14,31.8,26.1,28,4,5,1,104,5,7,27,261,128,60,14.3,2.69,0.03,9.6,60.5
高相みな実,2020-12,PFUブルーキャッツ,8,6,43,13,3,30.2,23.3,4,1,0,0,22,1,2,3,55,24,12,25.0,2.17,0.0,5.7,54.5
高相みな実,2021-01,PFUブルーキャッツ,8,6,60,20,3,33.3,28.3,11,1,0,0,19,2,3,4,27,15,6,9.1,3.33,0.0,11.8,66.7
高相みな実,2021-02,PFUブルーキャッツ,8,2,7,0,0,0.0,0.0,0,0,0,0,5,1,0,3,5,2,0,,0.0,0.0,35.0,40.0
高野由里加,2020-10,岡山シーガルズ,21,5,11,2,0,18.2,18.2,0,0,0,0,12,0,0,3,0,0,0,,0.4,0.0,6.2,
高野由里加,2020-11,岡山シーガルズ,21,1,5,1,1,20.0,0.0,0,0,0,1,0,0,0,0,0,0,0,,1.0,1.0,,
高野由里加,2020-12,岡山シーガルズ,21,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
高野由里加,2021-01,岡山シーガルズ,21,5,11,2,1,18.2,9.1,0,0,0,1,11,0,0,3,0,0,0,,0.4,0.2,6.8,
鴫原ひなた,2020-10,トヨタ車体クインシーズ,1,6,51,12,4,23.5,15.7,2,0,0,1,15,1,1,6,16,8,3,0.0,2.0,0.17,15.0,59.4
鴫原ひなた,2020-11,トヨタ車体クインシーズ,1,23,188,59,16,31.4,22.9,3,0,1,3,65,2,7,25,140,65,34,0.0,2.57,0.13,10.0,58.6
鴫原ひなた,2020-12,トヨタ車体クインシーズ,1,6,48,18,1,37.5,35.4,2,0,0,1,17,2,1,6,35,13,12,0.0,3.0,0.17,19.1,54.3
鴫原ひなた,2021-01,トヨタ車体クインシーズ,1,15,89,29,9,32.6,22.5,3,1,1,2,40,2,4,18,69,29,17,33.3,1.93,0.13,13.8,54.3
鴫原ひなた,2021-02,トヨタ車体クインシーズ,1,9,59,19,4,32.2,25.4,4,2,1,1,26,2,2,10,80,44,12,50.0,2.11,0.11,15.4,62.5
黒後愛,2020-10,東レアローズ,9,12,115,47,4,40.9,37.4,13,3,4,5,25,0,8,8,60,24,20,23.1,3.92,0.42,0.0,56.7
黒後愛,2020-11,東レアローズ,9,28,223,94,9,42.2,38.1,19,4,0,6,90,7,5,26,168,77,39,21.1,3.36,0.21,13.6,57.4
黒後愛,2020-12,東レアローズ,9,7,46,22,0,47.8,47.8,5,2,0,2,19,0,4,7,52,20,18,40.0,3.14,0.29,3.9,55.8
黒後愛,2021-01,東レアローズ,9,17,153,66,5,43.1,39.9,19,7,2,5,70,5,10,16,100,56,17,36.8,3.88,0.29,9.3,64.5
黒後愛,2021-02,東レアローズ,9,7,63,23,4,36.5,30.2,10,0,2,3,24,1,3,5,63,21,25,0.0,3.29,0.43,6.2,53.2
齋藤加奈子,2020-10,日立リヴァーレ,7,3,0,0,0,,,0,0,0,0,0,0,0,0,7,2,2,,0.0,0.0,,42.9
齋藤加奈子,2020-11,日立リヴァーレ,7,21,0,0,0,,,0,0,0,0,7,0,0,1,56,33,12,,0.0,0.0,3.6,69.6
齋藤加奈子,2020-12,日立リヴァーレ,7,7,0,0,0,,,0,0,0,0,0,0,0,0,30,20,7,,0.0,0.0,,78.3
齋藤加奈子,2021-01,日立リヴァーレ,7,13,0,0,0,,,0,0,0,0,0,0,0,0,55,19,15,,0.0,0.0,,48.2
齋藤加奈子,2021-02,日立リヴァーレ,7,15,0,0,0,,,0,0,0,0,0,0,0,0,57,29,13,,0.0,0.0,,62.3
