名前,年月,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
エバデダンジェフリー宇意,2020-10,富士通カワサキレッドスピリッツ,1,3,0,1,2,6,4,1,66.7,50.0,0,0,0,0,5,0,2,2,3,1,1,4,,2.0,0.0,0.0,50.0
エバデダンジェフリー宇意,2020-11,富士通カワサキレッドスピリッツ,1,21,2,7,17,72,44,4,61.1,55.6,0,0,0,7,38,2,2,6,6,4,2,53,,2.59,0.41,7.9,83.3
エバデダンジェフリー宇意,2020-12,富士通カワサキレッドスピリッツ,1,6,0,2,5,16,12,0,75.0,75.0,0,0,0,5,13,0,2,5,0,0,0,17,,2.4,1.0,5.8,
エバデダンジェフリー宇意,2021-01,富士通カワサキレッドスピリッツ,1,9,2,3,8,28,20,0,71.4,71.4,0,0,0,9,15,0,1,3,2,1,0,29,,2.5,1.12,3.3,50.0
エバデダンジェフリー宇意,2021-02,富士通カワサキレッドスピリッツ,1,15,0,5,12,46,24,3,52.2,45.7,1,0,0,10,29,0,3,7,4,1,2,34,0.0,2.0,0.83,3.4,50.0
エバデダンジェフリー宇意,2021-03,富士通カワサキレッドスピリッツ,1,6,1,2,7,31,24,1,77.4,74.2,0,0,0,4,15,0,4,3,0,0,0,28,,3.43,0.57,-1.7,
マシューパロット,2020-10,兵庫デルフィーノ,21,0,3,0,3,24,3,2,12.5,4.2,5,0,1,1,6,0,2,0,31,10,9,4,0.0,1.0,0.33,-8.3,46.8
マシューパロット,2020-11,兵庫デルフィーノ,21,4,14,1,18,159,56,8,35.2,30.2,22,5,4,10,60,2,19,7,115,45,35,68,22.7,3.11,0.56,-1.7,54.3
マシューパロット,2020-12,兵庫デルフィーノ,21,3,12,0,13,122,51,12,41.8,32.0,23,6,4,5,47,0,6,8,72,29,19,56,26.1,3.92,0.38,1.1,53.5
マシューパロット,2021-01,兵庫デルフィーノ,21,0,6,0,6,59,29,3,49.2,44.1,8,5,1,0,13,0,1,4,62,28,16,29,62.5,4.83,0.0,5.8,58.1
マシューパロット,2021-02,兵庫デルフィーノ,21,2,21,0,23,240,99,18,41.2,33.8,71,28,9,7,72,0,14,21,103,39,32,106,39.4,4.3,0.3,2.4,53.4
三好佳介,2021-02,ヴィアティン三重,34,7,3,2,7,64,33,1,51.6,50.0,13,7,0,1,26,2,7,5,2,1,0,36,53.8,4.71,0.14,5.8,50.0
三木裕人,2020-10,きんでんトリニティーブリッツ,18,1,3,0,1,0,0,0,,,0,0,0,0,1,0,0,0,7,4,2,0,,0.0,0.0,0.0,71.4
三木裕人,2020-11,きんでんトリニティーブリッツ,18,4,18,0,20,60,21,6,35.0,25.0,6,1,0,0,56,1,7,13,138,60,40,22,16.7,1.05,0.0,4.5,58.0
三木裕人,2020-12,きんでんトリニティーブリッツ,18,3,4,1,5,4,2,0,50.0,50.0,0,0,0,0,15,1,1,0,10,5,5,3,,0.4,0.0,5.0,75.0
三浦一真,2020-10,埼玉アザレア,18,3,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
三浦一真,2020-12,埼玉アザレア,18,3,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
三浦拓,2020-10,サフィルヴァ北海道,10,3,4,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
三浦拓,2020-12,サフィルヴァ北海道,10,1,6,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
三浦拓,2021-02,サフィルヴァ北海道,10,3,1,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
三浦拓,2021-03,サフィルヴァ北海道,10,0,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
三角尚久,2020-10,長野GaRons,3,4,3,1,7,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
三角尚久,2020-11,長野GaRons,3,16,6,5,22,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
三角尚久,2020-12,長野GaRons,3,0,3,0,3,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
三角尚久,2021-01,長野GaRons,3,1,6,0,7,0,0,0,,,0,0,0,0,0,0,0,0,29,15,7,0,,0.0,0.0,,63.8
三角尚久,2021-02,長野GaRons,3,10,19,2,29,0,0,0,,,0,0,0,0,0,0,0,0,120,52,29,0,,0.0,0.0,,55.4
三角昌弘,2020-11,東京ヴェルディ,3,6,6,2,4,0,0,0,,,0,0,0,0,0,0,0,0,9,6,1,0,,0.0,0.0,,72.2
三角昌弘,2020-12,東京ヴェルディ,3,10,6,3,15,0,0,0,,,0,0,0,0,0,0,0,0,52,17,20,0,,0.0,0.0,,51.9
三角昌弘,2021-01,東京ヴェルディ,3,0,6,0,3,0,0,0,,,0,0,0,0,0,0,0,0,15,11,0,0,,0.0,0.0,,73.3
上出哲也,2020-10,ヴィアティン三重,21,1,9,0,2,4,3,0,75.0,75.0,0,0,0,0,5,1,0,1,0,0,0,4,,1.5,0.0,25.0,
上出哲也,2020-11,ヴィアティン三重,21,7,4,2,9,30,16,2,53.3,46.7,0,0,0,2,23,0,1,3,2,0,2,18,,1.78,0.22,2.2,50.0
上出哲也,2021-01,ヴィアティン三重,21,4,3,1,2,7,3,0,42.9,42.9,0,0,0,1,9,0,0,1,0,0,0,4,,1.5,0.5,2.8,
上出哲也,2021-02,ヴィアティン三重,21,0,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
上場雄也,2020-10,つくばユナイテッドSunGAIA,1,7,4,2,11,129,67,11,51.9,43.4,40,22,5,6,40,1,9,12,0,0,0,74,55.0,6.09,0.55,4.4,
上場雄也,2020-11,つくばユナイテッドSunGAIA,1,6,13,1,16,178,88,17,49.4,39.9,74,34,8,6,65,5,12,21,0,0,0,99,45.9,5.5,0.38,11.2,
上場雄也,2020-12,つくばユナイテッドSunGAIA,1,0,3,0,3,59,27,6,45.8,35.6,29,14,5,0,15,4,3,4,0,0,0,31,48.3,9.0,0.0,28.3,
上場雄也,2021-01,つくばユナイテッドSunGAIA,1,9,1,3,10,91,43,8,47.3,38.5,24,9,4,3,32,2,7,9,2,0,0,48,37.5,4.3,0.3,7.8,0.0
上場雄也,2021-02,つくばユナイテッドSunGAIA,1,7,10,2,16,173,70,12,40.5,33.5,64,22,8,4,61,3,9,28,2,0,0,77,34.4,4.38,0.25,12.7,0.0
中村有登,2020-10,ヴィアティン三重,2,1,9,0,7,37,10,4,27.0,16.2,9,3,2,1,15,0,5,4,4,0,1,11,33.3,1.43,0.14,-1.7,12.5
中村有登,2020-11,ヴィアティン三重,2,7,4,2,9,49,16,5,32.7,22.4,8,4,3,2,32,3,7,14,0,0,0,21,50.0,1.78,0.22,14.8,
中村有登,2020-12,ヴィアティン三重,2,3,6,0,9,56,31,5,55.4,46.4,10,7,2,2,29,3,2,4,1,0,0,36,70.0,3.44,0.22,12.1,0.0
中村有登,2021-02,ヴィアティン三重,2,7,6,2,7,32,20,1,62.5,59.4,8,7,1,1,17,0,4,6,0,0,0,21,87.5,2.86,0.14,2.9,
中村龍哉,2020-11,東京ヴェルディ,6,9,10,3,5,2,1,0,50.0,50.0,0,0,0,0,4,0,1,0,0,0,0,1,,0.2,0.0,-6.2,
中村龍哉,2021-01,東京ヴェルディ,6,0,6,0,3,3,0,0,0.0,0.0,0,0,0,0,5,0,0,0,0,0,0,0,,0.0,0.0,0.0,
中野将太,2020-10,兵庫デルフィーノ,5,0,3,0,3,0,0,0,,,0,0,0,0,0,0,0,0,4,2,0,0,,0.0,0.0,,50.0
中野将太,2020-11,兵庫デルフィーノ,5,4,14,1,18,5,3,0,60.0,60.0,0,0,0,2,66,1,9,13,0,0,0,6,,0.17,0.11,3.0,
中野将太,2020-12,兵庫デルフィーノ,5,3,12,0,15,3,1,0,33.3,33.3,0,0,0,0,50,1,7,8,1,0,0,2,,0.07,0.0,2.5,0.0
中野将太,2021-01,兵庫デルフィーノ,5,0,6,0,6,0,0,0,,,0,0,0,0,7,0,1,0,0,0,0,0,,0.0,0.0,-3.6,
中野将太,2021-02,兵庫デルフィーノ,5,2,21,0,21,7,3,2,42.9,14.3,1,0,1,0,55,6,9,13,0,0,0,9,0.0,0.14,0.0,12.7,
中野竜,2020-12,埼玉アザレア,4,3,0,1,1,2,1,1,50.0,0.0,2,1,1,0,6,0,0,2,0,0,0,1,50.0,1.0,0.0,8.3,
中野竜,2021-01,埼玉アザレア,4,3,0,1,2,9,6,1,66.7,55.6,4,2,1,0,5,0,1,5,3,1,0,6,50.0,3.0,0.0,20.0,33.3
中野竜,2021-02,埼玉アザレア,4,12,3,4,12,84,47,6,56.0,48.8,31,17,2,2,41,5,9,8,11,5,1,54,54.8,3.92,0.17,11.6,50.0
中野竜,2021-03,埼玉アザレア,4,3,3,1,5,52,18,3,34.6,28.8,12,7,1,2,22,0,4,4,37,14,8,20,58.3,3.6,0.4,0.0,48.6
二五田大輔,2020-11,大同特殊鋼レッドスター,10,7,6,2,10,80,38,10,47.5,35.0,7,3,1,2,41,1,2,6,64,26,21,41,42.9,3.8,0.2,4.9,57.0
二五田大輔,2020-12,大同特殊鋼レッドスター,10,9,6,3,13,76,31,10,40.8,27.6,6,3,3,2,46,2,1,7,92,43,33,35,50.0,2.38,0.15,7.6,64.7
二五田大輔,2021-01,大同特殊鋼レッドスター,10,1,3,0,4,39,17,3,43.6,35.9,9,2,3,1,11,0,0,5,45,24,11,18,22.2,4.25,0.25,11.4,65.6
二五田大輔,2021-02,大同特殊鋼レッドスター,10,11,8,3,12,105,43,10,41.0,31.4,16,6,3,2,45,0,6,14,104,57,32,45,37.5,3.58,0.17,4.4,70.2
井上周二,2020-11,兵庫デルフィーノ,16,3,5,1,8,0,0,0,,,0,0,0,0,0,0,0,0,45,13,19,0,,0.0,0.0,,50.0
井上周二,2020-12,兵庫デルフィーノ,16,3,12,0,15,13,3,0,23.1,23.1,0,0,0,0,11,0,0,4,112,47,35,3,,0.2,0.0,9.1,57.6
井上周二,2021-02,兵庫デルフィーノ,16,2,3,0,5,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
今田善仁,2020-11,きんでんトリニティーブリッツ,4,4,12,0,4,0,0,0,,,0,0,0,0,5,0,0,0,0,0,0,0,,0.0,0.0,0.0,
仲村鴻輝,2020-10,兵庫デルフィーノ,13,0,3,0,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
仲村鴻輝,2020-11,兵庫デルフィーノ,13,1,9,0,4,7,2,1,28.6,14.3,0,0,0,1,9,0,0,0,1,0,0,3,,0.5,0.25,0.0,0.0
仲村鴻輝,2020-12,兵庫デルフィーノ,13,1,9,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
仲村鴻輝,2021-01,兵庫デルフィーノ,13,0,3,0,2,4,2,1,50.0,25.0,0,0,0,0,4,0,1,2,1,0,0,2,,1.0,0.0,6.2,0.0
仲村鴻輝,2021-02,兵庫デルフィーノ,13,0,15,0,7,8,0,1,0.0,-12.5,0,0,0,0,10,0,0,1,5,3,0,0,,0.0,0.0,2.5,60.0
伊澤啓生,2020-11,大同特殊鋼レッドスター,1,7,6,2,13,103,49,4,47.6,43.7,23,14,0,3,42,0,6,4,91,37,32,52,60.9,3.77,0.23,-1.2,58.2
伊澤啓生,2020-12,大同特殊鋼レッドスター,1,9,6,3,12,80,40,5,50.0,43.8,15,11,1,3,40,1,5,6,32,15,8,44,73.3,3.33,0.25,3.1,59.4
伊澤啓生,2021-02,大同特殊鋼レッドスター,1,6,0,2,6,38,19,3,50.0,42.1,1,0,1,2,27,4,2,7,12,6,4,25,0.0,3.17,0.33,19.4,66.7
佐々木博秋,2020-10,ヴォレアス北海道,13,6,1,2,3,16,9,1,56.2,50.0,3,2,1,3,10,0,4,2,10,5,3,12,66.7,3.0,1.0,-5.0,65.0
佐々木博秋,2020-11,ヴォレアス北海道,13,18,4,6,12,59,27,3,45.8,40.7,5,3,0,4,35,2,8,3,38,20,8,33,60.0,2.25,0.33,2.1,63.2
佐々木博秋,2020-12,ヴォレアス北海道,13,6,1,2,3,20,4,1,20.0,15.0,3,0,1,1,11,0,2,2,27,17,3,5,0.0,1.33,0.33,0.0,68.5
佐々木博秋,2021-02,ヴォレアス北海道,13,9,3,3,9,39,15,4,38.5,28.2,10,3,2,6,29,2,6,9,32,16,8,23,30.0,1.67,0.67,9.5,62.5
佐々木博秋,2021-03,ヴォレアス北海道,13,3,3,1,4,13,4,1,30.8,23.1,0,0,0,4,10,0,2,2,25,17,6,8,,1.0,1.0,0.0,80.0
佐藤利空,2021-01,長野GaRons,16,0,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐藤利空,2021-02,長野GaRons,16,10,19,2,1,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,0,,0.0,0.0,-25.0,
佐藤匠,2020-10,埼玉アザレア,5,3,1,1,4,13,7,1,53.8,46.2,0,0,0,4,12,0,2,3,0,0,0,11,,1.75,1.0,2.1,
佐藤匠,2020-11,埼玉アザレア,5,1,6,0,7,20,12,1,60.0,55.0,0,0,0,3,20,1,1,2,0,0,0,16,,1.71,0.43,6.2,
佐藤匠,2020-12,埼玉アザレア,5,10,4,3,11,30,11,0,36.7,36.7,0,0,0,11,31,1,0,6,1,0,1,23,,1.0,1.0,8.1,50.0
佐藤匠,2021-01,埼玉アザレア,5,3,0,1,3,10,6,0,60.0,60.0,0,0,0,3,11,3,0,5,0,0,0,12,,2.0,1.0,38.6,
佐藤匠,2021-02,埼玉アザレア,5,12,3,4,15,60,27,5,45.0,36.7,0,0,0,10,48,2,2,6,0,0,0,39,,1.8,0.67,6.2,
佐藤匠,2021-03,埼玉アザレア,5,3,3,1,6,19,8,2,42.1,31.6,0,0,0,2,22,0,0,1,1,1,0,10,,1.33,0.33,1.1,100.0
佐藤陸善,2020-10,サフィルヴァ北海道,20,3,4,1,7,2,1,0,50.0,50.0,0,0,0,0,31,0,3,9,0,0,0,1,,0.14,0.0,4.8,
佐藤陸善,2020-11,サフィルヴァ北海道,20,5,15,1,20,5,3,0,60.0,60.0,0,0,0,4,61,2,8,8,1,0,0,9,,0.15,0.2,3.3,0.0
佐藤陸善,2020-12,サフィルヴァ北海道,20,1,6,0,7,4,2,0,50.0,50.0,0,0,0,2,21,2,2,7,0,0,0,6,,0.29,0.29,15.5,
佐藤陸善,2021-02,サフィルヴァ北海道,20,6,1,2,6,1,1,0,100.0,100.0,0,0,0,0,16,0,2,5,0,0,0,1,,0.17,0.0,4.7,
佐藤陸善,2021-03,サフィルヴァ北海道,20,1,6,0,3,0,0,0,,,0,0,0,0,3,0,1,1,0,0,0,0,,0.0,0.0,0.0,
佐藤隼一,2020-11,東京ヴェルディ,10,9,10,3,3,6,1,1,16.7,0.0,2,1,1,0,4,0,2,1,8,6,0,1,50.0,0.33,0.0,-6.2,75.0
佐藤隼一,2020-12,東京ヴェルディ,10,10,6,3,12,3,0,1,0.0,-33.3,3,0,1,0,19,1,4,7,1,1,0,1,0.0,0.0,0.0,9.2,100.0
佐藤隼一,2021-01,東京ヴェルディ,10,0,6,0,4,0,0,0,,,0,0,0,0,5,1,2,2,0,0,0,1,,0.0,0.0,20.0,
備一真,2020-11,大同特殊鋼レッドスター,12,7,6,2,6,0,0,0,,,0,0,0,0,0,0,0,0,29,15,9,0,,0.0,0.0,,67.2
備一真,2020-12,大同特殊鋼レッドスター,12,9,6,3,15,0,0,0,,,0,0,0,0,0,0,0,0,60,43,10,0,,0.0,0.0,,80.0
備一真,2021-01,大同特殊鋼レッドスター,12,1,3,0,3,0,0,0,,,0,0,0,0,0,0,0,0,5,4,1,0,,0.0,0.0,,90.0
備一真,2021-02,大同特殊鋼レッドスター,12,11,8,3,19,0,0,0,,,0,0,0,0,0,0,0,0,72,59,7,0,,0.0,0.0,,86.8
兵頭佳樹,2020-10,富士通カワサキレッドスピリッツ,13,3,0,1,3,22,8,3,36.4,22.7,0,0,0,1,10,0,3,2,8,3,2,9,,2.67,0.33,-2.5,50.0
兵頭佳樹,2020-11,富士通カワサキレッドスピリッツ,13,21,2,7,23,118,68,6,57.6,52.5,8,2,1,9,101,5,9,25,120,46,46,82,25.0,2.96,0.39,8.9,57.5
兵頭佳樹,2020-12,富士通カワサキレッドスピリッツ,13,6,0,2,6,39,15,1,38.5,35.9,3,2,0,1,21,0,3,3,34,11,10,16,66.7,2.5,0.17,0.0,47.1
兵頭佳樹,2021-01,富士通カワサキレッドスピリッツ,13,9,2,3,9,36,16,0,44.4,44.4,3,2,0,2,22,0,5,6,37,16,9,18,66.7,1.78,0.22,1.1,55.4
兵頭佳樹,2021-02,富士通カワサキレッドスピリッツ,13,15,0,5,13,49,29,1,59.2,57.1,8,2,1,3,42,3,5,8,47,16,15,35,25.0,2.23,0.23,8.9,50.0
兵頭佳樹,2021-03,富士通カワサキレッドスピリッツ,13,6,1,2,5,21,7,2,33.3,23.8,2,1,1,0,19,1,2,2,24,10,9,8,50.0,1.4,0.0,5.3,60.4
内園徹,2020-10,きんでんトリニティーブリッツ,9,1,3,0,4,0,0,0,,,0,0,0,0,7,1,0,4,5,2,1,1,,0.0,0.0,28.6,50.0
内園徹,2020-11,きんでんトリニティーブリッツ,9,2,12,0,14,0,0,0,,,0,0,0,0,24,2,1,6,7,2,3,2,,0.0,0.0,13.5,50.0
内園徹,2020-12,きんでんトリニティーブリッツ,9,3,4,1,5,0,0,0,,,0,0,0,0,7,0,0,0,2,1,1,0,,0.0,0.0,0.0,75.0
前川将太,2020-10,ヴィアティン三重,11,1,9,0,4,21,11,0,52.4,52.4,3,2,0,0,7,0,3,1,11,2,6,11,66.7,2.75,0.0,-7.1,45.5
前川将太,2020-11,ヴィアティン三重,11,7,4,2,8,55,23,5,41.8,32.7,9,2,2,4,30,3,8,8,19,3,5,30,22.2,2.88,0.5,10.0,28.9
前川将太,2020-12,ヴィアティン三重,11,3,6,0,6,44,19,3,43.2,36.4,5,3,0,4,18,0,4,1,33,17,11,23,60.0,3.17,0.67,-4.2,68.2
前川将太,2021-02,ヴィアティン三重,11,6,3,2,5,39,18,2,46.2,41.0,9,2,1,3,16,2,4,2,16,10,3,23,22.2,3.6,0.6,9.4,71.9
前田将武,2020-10,埼玉アザレア,9,3,1,1,4,0,0,0,,,0,0,0,0,5,0,1,1,0,0,0,0,,0.0,0.0,0.0,
前田将武,2020-11,埼玉アザレア,9,1,6,0,6,0,0,0,,,0,0,0,0,7,0,4,1,0,0,0,0,,0.0,0.0,-10.7,
前田将武,2020-12,埼玉アザレア,9,10,4,3,8,2,2,0,100.0,100.0,0,0,0,1,13,0,5,1,0,0,0,3,,0.25,0.12,-7.7,
前田将武,2021-01,埼玉アザレア,9,3,0,1,3,0,0,0,,,0,0,0,0,3,0,0,0,0,0,0,0,,0.0,0.0,0.0,
前田将武,2021-02,埼玉アザレア,9,12,3,4,5,0,0,0,,,0,0,0,0,5,0,2,1,0,0,0,0,,0.0,0.0,-5.0,
前田将武,2021-03,埼玉アザレア,9,3,3,1,2,3,2,0,66.7,66.7,0,0,0,0,7,0,1,1,0,0,0,2,,1.0,0.0,0.0,
加藤伊織,2020-10,ヴォレアス北海道,9,6,1,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
加藤伊織,2020-11,ヴォレアス北海道,9,12,1,4,3,7,5,0,71.4,71.4,0,0,0,1,11,0,1,2,0,0,0,6,,1.67,0.33,2.3,
加藤伊織,2021-02,ヴォレアス北海道,9,9,3,3,7,12,4,0,33.3,33.3,0,0,0,5,27,1,3,9,2,2,0,10,,0.57,0.71,9.3,100.0
加藤伊織,2021-03,ヴォレアス北海道,9,3,3,1,2,0,0,0,,,0,0,0,0,2,0,0,0,0,0,0,0,,0.0,0.0,0.0,
加藤克貴,2020-10,埼玉アザレア,2,3,1,1,4,10,2,2,20.0,0.0,1,0,0,0,23,1,1,6,31,17,7,3,0.0,0.5,0.0,9.8,66.1
加藤克貴,2020-11,埼玉アザレア,2,1,6,0,7,27,12,1,44.4,40.7,3,2,0,0,26,0,1,6,76,33,17,12,66.7,1.71,0.0,4.8,54.6
加藤克貴,2020-12,埼玉アザレア,2,10,4,3,12,60,27,4,45.0,38.3,6,2,0,1,32,0,0,8,98,46,23,28,33.3,2.25,0.08,6.2,58.7
加藤克貴,2021-01,埼玉アザレア,2,3,0,1,2,6,5,1,83.3,66.7,2,1,1,0,5,0,0,1,13,8,0,5,50.0,2.5,0.0,5.0,61.5
加藤克貴,2021-02,埼玉アザレア,2,12,3,4,10,53,18,7,34.0,20.8,3,1,1,1,35,3,3,10,58,21,20,22,33.3,1.8,0.1,13.6,53.4
加藤克貴,2021-03,埼玉アザレア,2,3,3,1,4,19,10,1,52.6,47.4,2,0,0,0,13,1,0,4,17,6,5,11,0.0,2.5,0.0,15.4,50.0
加藤大雄,2020-10,富士通カワサキレッドスピリッツ,7,3,0,1,2,10,6,0,60.0,60.0,0,0,0,0,7,0,3,0,0,0,0,6,,3.0,0.0,-10.7,
加藤大雄,2020-11,富士通カワサキレッドスピリッツ,7,21,2,7,22,54,33,3,61.1,55.6,0,0,0,13,75,2,8,20,4,2,1,48,,1.5,0.59,6.7,62.5
加藤大雄,2020-12,富士通カワサキレッドスピリッツ,7,6,0,2,6,14,10,0,71.4,71.4,0,0,0,6,21,0,2,5,4,1,1,16,,1.67,1.0,3.6,37.5
